dcid,sentence
AirPollutant_Cancer_Risk,Lifetime cancer risk from inhalation of air toxics
AirQualityIndex_AirPollutant,Air quality index
AirQualityIndex_AirPollutant_CO,Air Quality Index of Carbon Monoxide
AirQualityIndex_AirPollutant_NO2,Air Quality Index of Nitrogen Dioxide
AirQualityIndex_AirPollutant_Ozone,Air Quality Index of Ozone
AirQualityIndex_AirPollutant_PM10,Air Quality Index of PM10
AirQualityIndex_AirPollutant_PM2.5,Air Quality Index of PM2.5
AirQualityIndex_AirPollutant_SO2,Air Quality Index of Sulfur Dioxide
AmountFarmInventory_WinterWheatForGrain,Amount of Winter Wheat grown for Grain production
Amount_Consumption_Alcohol_15OrMoreYears_AsFractionOf_Count_Person_15OrMoreYears,Alcohol consumed per capita
Amount_Consumption_Electricity_PerCapita,Electricity consumed per capita
Amount_Consumption_Energy_PerCapita,Energy consumed per capita
Amount_Consumption_RenewableEnergy_AsFractionOf_Amount_Consumption_Energy,Proportion of Renewable Energy Consumption Relative to Total Energy Consumption
Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_Government,Percentage of Total Government Spending Allocated to Education
Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal,Proportion of Education Spending Relative to Nominal GDP
Amount_EconomicActivity_ExpenditureActivity_HealthcareExpenditure_AsFractionOf_Count_Person,Healthcare Expenditure per Capita
Amount_EconomicActivity_ExpenditureActivity_MilitaryExpenditure_Government,Government Military Expenditure
Amount_EconomicActivity_ExpenditureActivity_MilitaryExpenditure_Government_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal,Proportion of Military Spending Relative to Nominal Gross Domestic Product
Amount_EconomicActivity_ExpenditureActivity_TertiaryEducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government,Government Tertiary Education Expenditure as Proportion of Government Education Expenditure
Amount_EconomicActivity_GrossDomesticProduction_NAICSAccommodationFoodServices_RealValue,Gross Domestic Product (GDP) of the accommodation and food industry
Amount_EconomicActivity_GrossDomesticProduction_NAICSAdministrativeSupportWasteManagementRemediationServices_RealValue,"Gross Domestic Product (GDP) of the administrative support, waste management, and remediation services industry"
Amount_EconomicActivity_GrossDomesticProduction_NAICSAgricultureForestryFishingHunting_RealValue,"Gross Domestic Product (GDP) of the agriculture, forestry, fishing, and hunting industry"
Amount_EconomicActivity_GrossDomesticProduction_NAICSArtsEntertainmentRecreation_RealValue,"Gross Domestic Product (GDP) of the arts, entertainment, and recreation industry"
Amount_EconomicActivity_GrossDomesticProduction_NAICSConstruction_RealValue,Gross Domestic Product (GDP) of the construction industry
Amount_EconomicActivity_GrossDomesticProduction_NAICSEducationalServices_RealValue,Gross Domestic Product (GDP) of the educational services industry
Amount_EconomicActivity_GrossDomesticProduction_NAICSFinanceInsurance_RealValue,Gross Domestic Product (GDP) of the finance and insurance industry
Amount_EconomicActivity_GrossDomesticProduction_NAICSHealthCareSocialAssistance_RealValue,Gross Domestic Product (GDP) of the health care and social assistance industry
Amount_EconomicActivity_GrossDomesticProduction_NAICSInformation_RealValue,Gross Domestic Product (GDP) of the information industry
Amount_EconomicActivity_GrossDomesticProduction_NAICSManagementOfCompaniesEnterprises_RealValue,Gross Domestic Product (GDP) of the management of companies and enterprises industry
Amount_EconomicActivity_GrossDomesticProduction_NAICSMiningQuarryingOilGasExtraction_RealValue,"Gross Domestic Product (GDP) of the mining, quarrying, and oil and gas extraction industry"
Amount_EconomicActivity_GrossDomesticProduction_NAICSProfessionalScientificTechnicalServices_RealValue,"Gross Domestic Product (GDP) of the professional, scientific, and technical services industry"
Amount_EconomicActivity_GrossDomesticProduction_NAICSRealEstateRentalLeasing_RealValue,Gross Domestic Product (GDP) of the real estate and rental and leasing industry
Amount_EconomicActivity_GrossDomesticProduction_NAICSUtilities_RealValue,Gross Domestic Product (GDP) of the utilities industry
Amount_EconomicActivity_GrossDomesticProduction_NAICSWholesaleTrade_RealValue,Gross Domestic Product (GDP) of the wholesale trade industry
Amount_EconomicActivity_GrossDomesticProduction_Nominal,nominal Gross Domestic Product (GDP)
Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,nominal Gross Domestic Product (GDP) per capita
Amount_EconomicActivity_GrossDomesticProduction_RealValue,real value of Gross Domestic Product (GDP)
Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity,Gross National Income Based on Purchasing Power Parity
Amount_EconomicActivity_GrossNationalIncome_PurchasingPowerParity_PerCapita,Gross National Income per capita Based on Purchasing Power Parity
Amount_EconomicActivity_GrossValueAdded_ISICAgricultureHuntingForestryFishing_RealValue,"Real Gross Value Added from Agriculture, Hunting, Forestry, and Fishing"
Amount_EconomicActivity_GrossValueAdded_ISICConstruction_RealValue,Real Gross Value Added from Construction
Amount_EconomicActivity_GrossValueAdded_ISICManufacturing_RealValue,Real Gross Value Added from Manufacturing
Amount_EconomicActivity_GrossValueAdded_ISICMiningManufacturingUtilities_RealValue,"Real Gross Value Added from Mining, Manufacturing, and Utilities"
Amount_EconomicActivity_GrossValueAdded_ISICTransportStorageCommunications_RealValue,"Real Gross Value Added from Transport, Storage, and Communications"
Amount_EconomicActivity_GrossValueAdded_ISICWholesaleRetailTradeRestaurantsHotels_RealValue,"Real Gross Value Added from Wholesale, Retail Trade, Restaurants, and Hotels"
Amount_EconomicActivity_GrossValueAdded_RealValue,Real Gross Value Added
Amount_Emissions_CarbonDioxide_PerCapita,Carbon Dioxide Emissions per Capita
Amount_FarmInventory_BarleyForGrain,Amount of Barley grown for Grain production
Amount_FarmInventory_CornForSilageOrGreenchop,Amount of Corn grown for Silage (green fodder) or Greenchop
Amount_FarmInventory_Cotton,Amount of cotton grown
